Accident_Index,year,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Cities
BS0000795,2024,Give way or uncontrolled,T or staggered junction,Slight,51.514557,Daylight,None,-0.089849,1,2,City of London,Dry,Single carriageway,30,0.375,Urban,Fine no high winds,Car,New Brunswick
BS0000796,2024,Give way or uncontrolled,Roundabout,Slight,51.517635,Darkness - lights lit,None,-0.096639,1,1,City of London,Dry,Single carriageway,30,0.951388889,Urban,Fine no high winds,Car,Mount Prospect
BS0000797,2024,Auto traffic signal,Crossroads,Slight,51.520075,Daylight,None,-0.097402,1,2,City of London,Dry,Dual carriageway,30,0.555555556,Urban,Fine no high winds,Car,Arcadia
BS0000798,2024,Auto traffic signal,Crossroads,Slight,51.517057,Daylight,None,-0.088735,1,2,City of London,Dry,Single carriageway,30,0.359722222,Urban,Fine no high winds,Motorcycle over 500cc,Southaven
BS0000799,2024,Auto traffic signal,Crossroads,Slight,51.517149,Daylight,None,-0.088875,1,2,City of London,Dry,Single carriageway,30,0.458333333,Urban,Fine no high winds,Motorcycle over 500cc,Tigard
BS0000800,2024,Auto traffic signal,Crossroads,Slight,51.517462,Daylight,None,-0.080502,1,1,City of London,Dry,Single carriageway,30,0.677777778,Urban,Fine no high winds,Car,Perth Amboy
BS0000801,2024,Give way or uncontrolled,Crossroads,Slight,51.512824,Daylight,None,-0.088336,1,2,City of London,Dry,Single carriageway,30,0.621527778,Urban,Fine no high winds,Car,Chicopee
BS0000802,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.51578,Daylight,None,-0.082158,1,2,City of London,Dry,Dual carriageway,30,0.795833333,Urban,Fine no high winds,Car,South Whittier
BS0000803,2024,Give way or uncontrolled,T or staggered junction,Slight,51.514163,Daylight,None,-0.07675,1,2,City of London,Dry,Single carriageway,30,0.364583333,Urban,Fine no high winds,Car,West Haven
BS0000804,2024,Give way or uncontrolled,T or staggered junction,Serious,51.514191,Daylight,None,-0.083955,1,2,City of London,Dry,Dual carriageway,30,0.270833333,Urban,Fine no high winds,Car,Tinley Park
BS0000805,2024,Give way or uncontrolled,T or staggered junction,Slight,51.515247,Daylight,None,-0.104665,1,2,City of London,Wet or damp,Single carriageway,30,0.768055556,Urban,Raining no high winds,Car,Hacienda Heights
BS0000806,2024,Auto traffic signal,T or staggered junction,Slight,51.509373,Daylight,None,-0.086319,1,2,City of London,Dry,Dual carriageway,30,0.525694444,Urban,Fine no high winds,Car,Beaumont
BS0000807,2024,Auto traffic signal,T or staggered junction,Slight,51.509348,Daylight,None,-0.084734,2,1,City of London,Dry,Dual carriageway,30,0.833333333,Urban,Fine no high winds,Motorcycle over 500cc,San Jacinto
BS0000808,2024,Auto traffic signal,T or staggered junction,Slight,51.517462,Daylight,None,-0.080502,1,1,City of London,Wet or damp,Single carriageway,30,0.669444444,Urban,Fine no high winds,Other vehicle,Plainfield
BS0000809,2024,Auto traffic signal,Crossroads,Slight,51.51338,Darkness - lights lit,None,-0.083845,1,1,City of London,Wet or damp,Single carriageway,30,0.976388889,Urban,Fine no high winds,Car,West Sacramento
BS0000810,2024,Give way or uncontrolled,T or staggered junction,Slight,51.512464,Daylight,None,-0.088351,1,1,City of London,Dry,Single carriageway,30,0.791666667,Urban,Fine no high winds,Car,Marana
BS0000811,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51704,Daylight,None,-0.087727,1,1,City of London,Dry,Single carriageway,30,0.60625,Urban,Fine no high winds,Motorcycle 125cc and under,Yucaipa
BS0000812,2024,Give way or uncontrolled,T or staggered junction,Serious,51.517043,Darkness - lights lit,None,-0.087871,1,2,City of London,Dry,Single carriageway,30,0.996527778,Urban,Fine no high winds,Car,Peabody
BS0000813,2024,Give way or uncontrolled,T or staggered junction,Slight,51.512466,Daylight,None,-0.105069,1,2,City of London,Dry,Single carriageway,30,0.395833333,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Rocky Mount
BS0000814,2024,Auto traffic signal,Roundabout,Slight,51.517535,Daylight,None,-0.107165,1,1,City of London,Dry,Roundabout,30,0.70625,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc,Texas City
BS0000815,2024,Auto traffic signal,Crossroads,Slight,51.517241,Darkness - lights lit,None,-0.089016,1,2,City of London,Dry,Single carriageway,30,0.929166667,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t,Kentwood
BS0000816,2024,Give way or uncontrolled,T or staggered junction,Slight,51.512901,Daylight,None,-0.104186,1,2,City of London,Dry,Single carriageway,30,0.729166667,Urban,Fine no high winds,Car,Manhattan
BS0000817,2024,Give way or uncontrolled,T or staggered junction,Slight,51.515721,Daylight,None,-0.10061,1,2,City of London,Dry,Single carriageway,30,0.576388889,Urban,Fine no high winds,Car,Colton
BS0000818,2024,Auto traffic signal,Crossroads,Slight,51.509858,Daylight,None,-0.08846,1,2,City of London,Dry,Dual carriageway,30,0.286805556,Urban,Fine no high winds,Car,Aspen Hill
BS0000819,2024,Auto traffic signal,T or staggered junction,Slight,51.517552,Daylight,None,-0.080499,1,2,City of London,Wet or damp,Single carriageway,30,0.640277778,Urban,Raining no high winds,Car,Diamond Bar
BS0000820,2024,Auto traffic signal,T or staggered junction,Slight,51.510836,Daylight,None,-0.093319,2,2,City of London,Dry,Dual carriageway,30,0.736111111,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc,Huntington Park
BS0000821,2024,Give way or uncontrolled,T or staggered junction,Serious,51.515648,Daylight,None,-0.07957,1,2,City of London,Dry,Single carriageway,30,0.666666667,Urban,Fine no high winds,Car,Wheaton
BS0000822,2024,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.510818,Daylight,None,-0.08669,1,2,City of London,Dry,Dual carriageway,30,0.590277778,Urban,Fine no high winds,Car,Pinellas Park
BS0000823,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.51719,Daylight,None,-0.108044,1,2,City of London,Dry,Single carriageway,30,0.619444444,Urban,Fine no high winds,Car,Aloha
BS0000824,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.506526,Darkness - lights lit,None,-0.088167,2,1,Metropolitan Police,Dry,Dual carriageway,30,0.041666667,Urban,Fine no high winds,Car,Oak Park
BS0000825,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513083,Daylight,None,-0.104323,1,1,City of London,Dry,Single carriageway,30,0.390277778,Urban,Fine no high winds,Car,Minnetonka
BS0000826,2024,Give way or uncontrolled,T or staggered junction,Slight,51.510984,Daylight,None,-0.108013,1,1,City of London,Wet or damp,Dual carriageway,30,0.618055556,Urban,Raining no high winds,Car,Twin Falls
BS0000827,2024,Give way or uncontrolled,T or staggered junction,Serious,51.52139,Daylight,None,-0.078751,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.780555556,Urban,Fine no high winds,Car,Edina
BS0000828,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.513652,Daylight,None,-0.083977,1,2,City of London,Wet or damp,Single carriageway,30,0.430555556,Urban,Fine no high winds,Car,Westchester
BS0000829,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.509535,Daylight,None,-0.079683,1,2,City of London,Dry,Dual carriageway,30,0.388888889,Urban,Fine no high winds,Car,Methuen Town
BS0000830,2024,Auto traffic signal,Crossroads,Slight,51.517414,Daylight,None,-0.088576,1,1,City of London,Dry,Single carriageway,30,0.663194444,Urban,Fine no high winds,Car,Normal
BS0000831,2024,Auto traffic signal,T or staggered junction,Slight,51.510896,Daylight,None,-0.10254,1,2,City of London,Dry,Single carriageway,30,0.756944444,Urban,Fine no high winds,Car,Elyria
BS0000832,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.50953,Darkness - lights lit,None,-0.079395,1,2,City of London,Wet or damp,Single carriageway,30,0.11875,Urban,Raining no high winds,Taxi-Private hire car,Novato
BS0000833,2024,Give way or uncontrolled,Private drive or entrance,Slight,51.509059,Daylight,None,-0.083594,1,1,City of London,Wet or damp,Dual carriageway,30,0.770833333,Urban,Raining no high winds,Car,Paramount
BS0000834,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.513278,Daylight,None,-0.088605,1,1,City of London,Dry,Single carriageway,30,0.790972222,Urban,Fine no high winds,Motorcycle over 500cc,Kyle
BS0000835,2024,Give way or uncontrolled,Crossroads,Slight,51.509925,Daylight,None,-0.08154,1,2,City of London,Dry,Single carriageway,30,0.717361111,Urban,Fine no high winds,Other vehicle,Placentia
BS0000836,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.513275,Daylight,None,-0.088461,1,2,City of London,Dry,Single carriageway,30,0.750694444,Urban,Fine no high winds,Car,Kendale Lakes
BS0000837,2024,Auto traffic signal,T or staggered junction,Serious,51.510652,Daylight,None,-0.093038,1,2,City of London,Dry,Dual carriageway,30,0.356944444,Urban,Fine no high winds,Car,Cathedral City
BS0000838,2024,Auto traffic signal,Crossroads,Slight,51.513207,Daylight,None,-0.084284,4,2,City of London,Dry,Single carriageway,30,0.359722222,Urban,Fine no high winds,Motorcycle 125cc and under,Florissant
BS0000839,2024,Give way or uncontrolled,T or staggered junction,Serious,51.510211,Daylight,None,-0.082537,1,3,City of London,Dry,Single carriageway,30,0.381944444,Urban,Fine no high winds,Car,Catalina Foothills
BS0000840,2024,Auto traffic signal,T or staggered junction,Slight,51.509424,Daylight,None,-0.07839,1,1,Metropolitan Police,Dry,Single carriageway,30,0.814583333,Urban,Fine no high winds,Car,West New York
BS0000841,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.509118,Daylight,None,-0.087194,3,4,City of London,Dry,Dual carriageway,30,0.347222222,Urban,Fine no high winds,Car,Dunwoody
BS0000842,2024,Give way or uncontrolled,Crossroads,Slight,51.518873,Daylight,None,-0.100911,1,2,City of London,Dry,Single carriageway,30,0.693055556,Urban,Fine no high winds,Car,Levittown
BS0000843,2024,Auto traffic signal,T or staggered junction,Serious,51.518706,Daylight,None,-0.079585,1,2,City of London,Dry,Single carriageway,30,0.625,Urban,Fine no high winds,Car,Palm Desert
BS0000844,2024,Auto traffic signal,T or staggered junction,Slight,51.511967,Darkness - lights lit,None,-0.102063,1,2,City of London,Dry,Dual carriageway,30,0.234027778,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t,Mooresville
BS0000845,2024,Give way or uncontrolled,T or staggered junction,Slight,51.511145,Daylight,None,-0.073706,1,2,City of London,Dry,Single carriageway,30,0.458333333,Urban,Fine no high winds,Taxi-Private hire car,Little Elm
BS0000846,2024,Give way or uncontrolled,T or staggered junction,Slight,51.515721,Daylight,None,-0.10061,1,2,City of London,Dry,Single carriageway,30,0.569444444,Urban,Fine no high winds,Car,Glendora
BS0000847,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51131,Daylight,None,-0.089264,1,2,City of London,Dry,Single carriageway,30,0.375,Urban,Fine no high winds,Car,Burien
BS0000848,2024,Auto traffic signal,Crossroads,Slight,51.517147,Daylight,None,-0.088731,1,2,City of London,Dry,Single carriageway,30,0.621527778,Urban,Fine no high winds,Car,Aliso Viejo
BS0000849,2024,Give way or uncontrolled,Crossroads,Slight,51.515361,Daylight,None,-0.089527,4,1,City of London,Dry,Single carriageway,30,0.522916667,Urban,Fine no high winds,Car,Summerville
BS0000850,2024,Give way or uncontrolled,T or staggered junction,Serious,51.511632,Darkness - lights lit,None,-0.081468,1,2,City of London,Dry,Single carriageway,30,0.815277778,Urban,Fine no high winds,Bus or coach (17 or more pass seats),Collierville
BS0000851,2024,Give way or uncontrolled,T or staggered junction,Serious,51.510149,Daylight,None,-0.089745,1,2,City of London,Dry,Single carriageway,30,0.402777778,Urban,Fine no high winds,Agricultural vehicle,Tamiami
BS0000852,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.510742,Daylight,None,-0.093035,1,2,City of London,Dry,Dual carriageway,30,0.39375,Urban,Fine no high winds,Motorcycle over 500cc,Wake Forest
BS0000853,2024,Give way or uncontrolled,T or staggered junction,Slight,51.514893,Daylight,None,-0.082916,1,1,City of London,Dry,Single carriageway,30,0.777777778,Urban,Fine no high winds,Car,Hoffman Estates
BS0000854,2024,Give way or uncontrolled,T or staggered junction,Slight,51.512005,Daylight,None,-0.104367,1,2,City of London,Dry,Single carriageway,30,0.363194444,Urban,Fine no high winds,Motorcycle over 500cc,Westfield
BS0000855,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.511819,Daylight,Pedestrian in carriageway - not injured,-0.098466,1,1,City of London,Dry,Single carriageway,30,0.357638889,Urban,Fine no high winds,Car,Country Club
BS0000856,2024,Auto traffic signal,T or staggered junction,Slight,51.518171,Darkness - lights lit,None,-0.079896,2,1,City of London,Dry,Single carriageway,30,0.820833333,Urban,Fine no high winds,Motorcycle over 500cc,Burleson
BS0000857,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513467,Daylight,None,-0.100271,1,1,City of London,Dry,Single carriageway,30,0.402083333,Urban,Fine no high winds,Motorcycle 125cc and under,East Honolulu
BS0000858,2024,Give way or uncontrolled,T or staggered junction,Slight,51.510592,Darkness - lights lit,None,-0.083818,1,1,City of London,Dry,Single carriageway,30,0.250694444,Urban,Fine no high winds,Car,Mishawaka
BS0000859,2024,Give way or uncontrolled,T or staggered junction,Slight,51.509644,Daylight,None,-0.080831,1,2,City of London,Dry,Single carriageway,30,0.763888889,Urban,Fine no high winds,Car,Grapevine
BS0000860,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51025,Darkness - lights lit,None,-0.090461,1,1,City of London,Dry,Dual carriageway,30,0.8125,Urban,Fine no high winds,Bus or coach (17 or more pass seats),Cuyahoga Falls
BS0000861,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513179,Darkness - lights lit,None,-0.09913,1,1,City of London,Dry,Single carriageway,30,0.078472222,Urban,Fine no high winds,Taxi-Private hire car,Delano
BS0000862,2024,Give way or uncontrolled,T or staggered junction,Fatal,51.515249,Daylight,None,-0.104809,1,2,City of London,Dry,Single carriageway,30,0.720138889,Urban,Fine no high winds,Car,Enid
BS0000863,2024,Auto traffic signal,T or staggered junction,Fatal,51.509556,Darkness - lights lit,None,-0.086455,1,2,City of London,Dry,Dual carriageway,30,0.260416667,Urban,Fine no high winds,Car,Milford city 
BS0000864,2024,Auto traffic signal,T or staggered junction,Fatal,51.515716,Daylight,None,-0.100322,1,3,City of London,Dry,Single carriageway,30,0.513888889,Urban,Fine no high winds,Motorcycle over 500cc,El Dorado Hills
BS0000865,2024,Give way or uncontrolled,T or staggered junction,Fetal,51.513656,Daylight,None,-0.10084,1,2,City of London,Dry,Single carriageway,30,0.54375,Urban,Fine no high winds,Car,Rosemead
BS0000866,2024,Auto traffic signal,More than 4 arms (not roundabout),Fetal,51.511005,Daylight,None,-0.087115,1,1,City of London,Dry,Single carriageway,30,0.554861111,Urban,Fine no high winds,Car,McLean
BS0000867,2024,Give way or uncontrolled,More than 4 arms (not roundabout),Fetal,51.511476,Daylight,None,-0.077439,1,2,City of London,Wet or damp,Single carriageway,30,0.791666667,Urban,Raining + high winds,Car,Jeffersonville
BS0000868,2024,Data missing or out of range,Not at junction or within 20 metres,Fetal,51.511911,Daylight,None,-0.098607,1,2,City of London,Wet or damp,Single carriageway,30,0.731944444,Urban,Raining no high winds,Car,Draper
BS0000869,2024,Data missing or out of range,Not at junction or within 20 metres,Fetal,51.513656,Daylight,None,-0.111938,1,2,City of London,Dry,Single carriageway,30,0.364583333,Urban,Fine no high winds,Car,Covina
BS0000870,2024,Auto traffic signal,Crossroads,Fetal,51.520314,Darkness - lights lit,None,-0.078941,1,2,City of London,Dry,Dual carriageway,30,0.254166667,Urban,Fine no high winds,Car,Murray
BS0000871,2024,Data missing or out of range,Not at junction or within 20 metres,Fetal,51.510456,Daylight,None,-0.092038,1,2,City of London,Wet or damp,Dual carriageway,30,0.791666667,Urban,Raining no high winds,Car,Downers Grove
BS0000872,2024,Auto traffic signal,Crossroads,Fetal,51.517408,Daylight,None,-0.093765,1,2,City of London,Dry,Dual carriageway,30,0.384722222,Urban,Fine no high winds,Car,Rockwall
BS0000873,2024,Give way or uncontrolled,T or staggered junction,Fetal,51.515334,Daylight,None,-0.093419,1,2,City of London,Dry,Single carriageway,30,0.518055556,Urban,Fine no high winds,Car,Chesterfield
BS0000874,2024,Auto traffic signal,T or staggered junction,Fetal,51.509024,Daylight,None,-0.081433,2,4,City of London,Dry,Dual carriageway,30,0.377777778,Urban,Fine no high winds,Car,St. Louis Park
BS0000875,2024,Give way or uncontrolled,T or staggered junction,Fetal,51.511551,Daylight,None,-0.087524,1,1,City of London,Dry,Single carriageway,30,0.413888889,Urban,Fine no high winds,Motorcycle 125cc and under,Florin
BS0000876,2024,Give way or uncontrolled,T or staggered junction,Fetal,51.511469,Daylight,None,-0.082484,1,1,City of London,Dry,Single carriageway,30,0.701388889,Urban,Fine no high winds,Car,Cypress
BS0000877,2024,Give way or uncontrolled,T or staggered junction,Serious,51.514101,Darkness - lights lit,None,-0.083959,1,2,City of London,Dry,Dual carriageway,30,0.813888889,Urban,Fine no high winds,Car,Eagle Mountain
BS0000878,2024,Auto traffic signal,T or staggered junction,Serious,51.51173,Daylight,None,-0.104091,1,2,City of London,Dry,Dual carriageway,30,0.335416667,Urban,Fine no high winds,Car,North Bethesda
BS0000879,2024,Give way or uncontrolled,Private drive or entrance,Serious,51.516422,Daylight,None,-0.105049,1,2,City of London,Wet or damp,Single carriageway,30,0.545138889,Urban,Raining no high winds,Car,Azusa
BS0000880,2024,Give way or uncontrolled,T or staggered junction,Serious,51.510282,Daylight,None,-0.086857,1,2,City of London,Dry,Dual carriageway,30,0.739583333,Urban,Fine no high winds,Car,Coral Gables
BS0000881,2024,Give way or uncontrolled,T or staggered junction,Slight,51.510703,Daylight,None,-0.08511,1,1,City of London,Dry,Single carriageway,30,0.368055556,Urban,Fine no high winds,Car,Bedford
BS0000882,2024,Give way or uncontrolled,Crossroads,Serious,51.520453,Daylight,None,-0.081962,1,2,Metropolitan Police,Dry,Single carriageway,30,0.381944444,Urban,Fine no high winds,Car,Antelope
BS0000883,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.50912,Daylight,None,-0.087338,1,2,City of London,Dry,Dual carriageway,30,0.53125,Urban,Fine no high winds,Car,Portage
BS0000884,2024,Give way or uncontrolled,T or staggered junction,Slight,51.519175,Darkness - lights lit,None,-0.102917,1,2,City of London,Dry,Single carriageway,30,0.861111111,Urban,Fine no high winds,Car,Biloxi
BS0000885,2024,Give way or uncontrolled,T or staggered junction,Slight,51.510625,Daylight,None,-0.085834,1,2,City of London,Dry,Dual carriageway,30,0.765972222,Urban,Fine no high winds,Car,Titusville
BS0000886,2024,Give way or uncontrolled,T or staggered junction,Slight,51.509641,Daylight,None,-0.080687,1,2,City of London,Dry,Single carriageway,30,0.604166667,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Euclid
BS0000887,2024,Give way or uncontrolled,T or staggered junction,Slight,51.517683,Darkness - lights lit,None,-0.105141,1,2,City of London,Wet or damp,Single carriageway,30,0.772916667,Urban,Raining no high winds,Car,Ceres
BS0000888,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51387,Daylight,None,-0.075321,1,2,City of London,Wet or damp,Single carriageway,30,0.347222222,Urban,Fine no high winds,Car,University
BS0000889,2024,Auto traffic signal,T or staggered junction,Slight,51.510594,Daylight,None,-0.083962,1,1,City of London,Wet or damp,Single carriageway,30,0.421527778,Urban,Raining no high winds,Car,Stillwater
BS0000890,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513312,Daylight,Pedestrian in carriageway - not injured,-0.079668,1,1,City of London,Wet or damp,Single carriageway,30,0.673611111,Urban,Fine no high winds,Car,Leesburg
BS0000891,2024,Give way or uncontrolled,Crossroads,Slight,51.510918,Darkness - lights lit,None,-0.087263,1,2,City of London,Dry,Single carriageway,30,0.986111111,Urban,Fine no high winds,Car,Bothell
BS0000892,2024,Give way or uncontrolled,T or staggered junction,Slight,51.516572,Daylight,None,-0.103169,1,2,City of London,Dry,Dual carriageway,30,0.340277778,Urban,Fine no high winds,Car,Tuckahoe
BS0000893,2024,Give way or uncontrolled,T or staggered junction,Slight,51.509454,Darkness - lights lit,None,-0.080262,1,2,City of London,Dry,Dual carriageway,30,0.277777778,Urban,Fine no high winds,Car,Cedar Hill
BS0000894,2024,Auto traffic signal,T or staggered junction,Slight,51.513836,Daylight,None,-0.100832,1,2,City of London,Dry,Single carriageway,30,0.551388889,Urban,Fine no high winds,Car,Poway
BS0000895,2024,Give way or uncontrolled,T or staggered junction,Slight,51.511635,Darkness - lights lit,None,-0.081612,1,2,City of London,Dry,Single carriageway,30,0.107638889,Urban,Fine no high winds,Car,Cerritos
BS0000896,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.514467,Daylight,None,-0.089852,1,1,City of London,Dry,Single carriageway,30,0.488194444,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Niagara Falls
BS0000897,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51376,Daylight,None,-0.1017,1,1,City of London,Dry,Single carriageway,30,0.563888889,Urban,Fine no high winds,Car,Fort Pierce
BS0000898,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.518189,Daylight,None,-0.103102,1,2,City of London,Dry,Single carriageway,30,0.479166667,Urban,Fine no high winds,Car,San Luis Obispo
BS0000899,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.51614,Daylight,None,-0.082143,1,1,City of London,Dry,Dual carriageway,30,0.59375,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Minot
BS0000900,2024,Give way or uncontrolled,Slip road,Slight,51.510031,Daylight,None,-0.08802,1,1,City of London,Snow,Single carriageway,30,0.41875,Urban,Snowing no high winds,Car,North Highlands
BS0000901,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.513444,Daylight,None,-0.082257,1,1,City of London,Wet or damp,Single carriageway,30,0.369444444,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over,Ocoee
BS0000902,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513257,Daylight,None,-0.081832,2,1,City of London,Dry,Single carriageway,30,0.631944444,Urban,Fine no high winds,Car,Wilson
BS0000903,2024,Auto traffic signal,Crossroads,Slight,51.51604,Darkness - lights lit,None,-0.081571,1,2,City of London,Dry,Dual carriageway,30,0.861111111,Urban,Fine no high winds,Car,Wauwatosa
BS0000904,2024,Give way or uncontrolled,T or staggered junction,Slight,51.517593,Darkness - lights lit,None,-0.105144,5,2,City of London,Dry,Single carriageway,30,0.947916667,Urban,Fine no high winds,Taxi-Private hire car,Glenview
BS0000905,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.511803,Darkness - lights lit,None,-0.080884,1,1,City of London,Wet or damp,Single carriageway,30,0.783333333,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over,Oro Valley
BS0000906,2024,Give way or uncontrolled,T or staggered junction,Slight,51.510279,Daylight,None,-0.086713,1,2,City of London,Wet or damp,Dual carriageway,30,0.464583333,Urban,Fine no high winds,Car,Brea
BS0000907,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51512,Darkness - lights lit,None,-0.102364,1,2,City of London,Dry,One way street,30,0.875,Urban,Fine no high winds,Car,Rancho Santa Margarita
BS0000908,2024,Give way or uncontrolled,T or staggered junction,Slight,51.517595,Darkness - lights lit,None,-0.105288,1,2,City of London,Wet or damp,Single carriageway,30,0.666666667,Urban,Raining no high winds,Car,Roseville
BS0000909,2024,Give way or uncontrolled,T or staggered junction,Slight,51.513864,Darkness - lights lit,None,-0.102561,1,1,City of London,Wet or damp,Single carriageway,30,0.715277778,Urban,Fine no high winds,Car,Mentor
BS0000910,2024,Give way or uncontrolled,T or staggered junction,Serious,51.5135,Daylight,None,-0.09119,1,1,City of London,Wet or damp,Single carriageway,30,0.371527778,Urban,Raining no high winds,Car,Winter Garden
BS0000911,2024,Auto traffic signal,Crossroads,Slight,51.51605,Daylight,None,-0.082147,1,1,City of London,Dry,Dual carriageway,30,0.350694444,Urban,Fine no high winds,Car,East Providence
BS0000912,2024,Give way or uncontrolled,T or staggered junction,Slight,51.515723,Darkness - lights lit,None,-0.084179,2,1,City of London,Dry,Single carriageway,30,0.707638889,Urban,Fine no high winds,Car,Goose Creek
BS0000913,2024,Give way or uncontrolled,T or staggered junction,Slight,51.518452,Daylight,None,-0.102658,1,1,City of London,Wet or damp,Single carriageway,30,0.395833333,Urban,Raining no high winds,Car,La Mirada
BS0000914,2024,Auto traffic signal,More than 4 arms (not roundabout),Slight,51.510984,Darkness - lights lit,None,-0.102392,1,2,City of London,Wet or damp,Single carriageway,30,0.21875,Urban,Fine no high winds,Car,Huntsville
BS0000915,2024,Auto traffic signal,T or staggered junction,Slight,51.513014,Darkness - lights lit,None,-0.077951,1,1,City of London,Dry,Single carriageway,30,0.310416667,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,Rowland Heights
BS0000916,2024,Auto traffic signal,T or staggered junction,Slight,51.519985,Daylight,None,-0.097405,1,2,City of London,Dry,Single carriageway,30,0.416666667,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc,Beavercreek
BS0000917,2024,Auto traffic signal,Crossroads,Slight,51.514069,Darkness - lights lit,None,-0.104138,1,1,City of London,Dry,Single carriageway,30,0.979166667,Urban,Fine no high winds,Car,Los Banos
BS0000918,2024,Auto traffic signal,T or staggered junction,Slight,51.51693,Darkness - lights lit,None,-0.080957,1,1,City of London,Wet or damp,Single carriageway,30,0.829861111,Urban,Fine no high winds,Motorcycle over 500cc,Prescott
BS0000919,2024,Auto traffic signal,T or staggered junction,Slight,51.510564,Daylight,None,-0.093186,1,1,City of London,Wet or damp,Single carriageway,30,0.415277778,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over,Gallatin
BS0000920,2024,Give way or uncontrolled,T or staggered junction,Slight,51.516628,Daylight,None,-0.106626,1,1,City of London,Wet or damp,Single carriageway,30,0.559027778,Urban,Fine no high winds,Car,Olive Branch
BS0000921,2024,Auto traffic signal,T or staggered junction,Slight,51.519896,Darkness - lights lit,None,-0.097409,2,2,City of London,Dry,Single carriageway,30,0.755555556,Urban,Fine no high winds,Car,Attleboro
BS0000922,2024,Give way or uncontrolled,T or staggered junction,Slight,51.51142,Darkness - lights lit,None,-0.079459,1,1,City of London,Wet or damp,Single carriageway,30,0.982638889,Urban,Fine no high winds,Car,Salina
BS0000923,2024,Auto traffic signal,Crossroads,Slight,51.51604,Daylight,None,-0.081571,1,2,City of London,Dry,Single carriageway,30,0.623611111,Urban,Fine no high winds,Car,Farmington
BS0000924,2024,Give way or uncontrolled,Crossroads,Slight,51.515271,Daylight,None,-0.089531,2,1,City of London,Dry,Single carriageway,30,0.457638889,Urban,Fine no high winds,Motorcycle over 500cc,Whitney
BS0000925,2024,Auto traffic signal,T or staggered junction,Slight,51.514664,Daylight,None,-0.074422,1,2,City of London,Wet or damp,Single carriageway,30,0.318055556,Urban,Raining no high winds,Car,Potomac
BS0000926,2024,Data missing or out of range,Not at junction or within 20 metres,Serious,51.512962,Darkness - lights lit,Pedestrian in carriageway - not injured,-0.096833,2,1,City of London,Wet or damp,Single carriageway,30,0.15,Urban,Raining no high winds,Car,Urbandale
BS0000927,2024,Auto traffic signal,Crossroads,Slight,51.516343,Daylight,None,-0.083576,1,2,City of London,Dry,Single carriageway,30,0.429166667,Urban,Fine no high winds,Taxi-Private hire car,Strongsville
